IEA Region,Sector,Metric,Scenario,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CSAM,Industry,Solar Thermal,Baseline,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
CSAM,Industry,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
CSAM,Buildings,Solar Thermal,Baseline,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
CSAM,Buildings,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRAZIL,Industry,Solar Thermal,Baseline,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
BRAZIL,Industry,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
BRAZIL,Buildings,Solar Thermal,Baseline,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
BRAZIL,Buildings,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUR,Industry,Solar Thermal,Baseline,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
EUR,Industry,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
EUR,Buildings,Solar Thermal,Baseline,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
EUR,Buildings,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EU,Industry,Solar Thermal,Baseline,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
EU,Industry,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
EU,Buildings,Solar Thermal,Baseline,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
EU,Buildings,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Industry,Solar Thermal,Baseline,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
Africa,Industry,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
Africa,Buildings,Solar Thermal,Baseline,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
Africa,Buildings,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAFR,Industry,Solar Thermal,Baseline,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
SAFR,Industry,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
SAFR,Buildings,Solar Thermal,Baseline,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
SAFR,Buildings,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME,Industry,Solar Thermal,Baseline,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
ME,Industry,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
ME,Buildings,Solar Thermal,Baseline,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
ME,Buildings,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EURASIA,Industry,Solar Thermal,Baseline,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
EURASIA,Industry,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
EURASIA,Buildings,Solar Thermal,Baseline,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
EURASIA,Buildings,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUS,Industry,Solar Thermal,Baseline,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
RUS,Industry,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
RUS,Buildings,Solar Thermal,Baseline,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
RUS,Buildings,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIAPAC,Industry,Solar Thermal,Baseline,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
ASIAPAC,Industry,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
ASIAPAC,Buildings,Solar Thermal,Baseline,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
ASIAPAC,Buildings,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHINA,Industry,Solar Thermal,Baseline,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
CHINA,Industry,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
CHINA,Buildings,Solar Thermal,Baseline,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
CHINA,Buildings,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDIA,Industry,Solar Thermal,Baseline,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
INDIA,Industry,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
INDIA,Buildings,Solar Thermal,Baseline,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
INDIA,Buildings,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,Industry,Solar Thermal,Baseline,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
JPN,Industry,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
JPN,Buildings,Solar Thermal,Baseline,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
JPN,Buildings,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASEAN,Industry,Solar Thermal,Baseline,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
ASEAN,Industry,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
ASEAN,Buildings,Solar Thermal,Baseline,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
ASEAN,Buildings,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OECD,Industry,Solar Thermal,Baseline,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
OECD,Industry,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
OECD,Buildings,Solar Thermal,Baseline,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
OECD,Buildings,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NonOECD,Industry,Solar Thermal,Baseline,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
NonOECD,Industry,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
NonOECD,Buildings,Solar Thermal,Baseline,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
NonOECD,Buildings,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DevelopingECO,Industry,Solar Thermal,Baseline,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
DevelopingECO,Industry,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
DevelopingECO,Buildings,Solar Thermal,Baseline,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
DevelopingECO,Buildings,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AdvancedECO,Industry,Solar Thermal,Baseline,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
AdvancedECO,Industry,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
AdvancedECO,Buildings,Solar Thermal,Baseline,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
AdvancedECO,Buildings,Biochar,Baseline,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,Industry,Solar Thermal,Pathway,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
World,Industry,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
World,Buildings,Solar Thermal,Pathway,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
World,Buildings,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,Industry,Solar Thermal,Pathway,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
NAM,Industry,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
NAM,Buildings,Solar Thermal,Pathway,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
NAM,Buildings,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,Industry,Solar Thermal,Pathway,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
US,Industry,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
US,Buildings,Solar Thermal,Pathway,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
US,Buildings,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSAM,Industry,Solar Thermal,Pathway,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
CSAM,Industry,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
CSAM,Buildings,Solar Thermal,Pathway,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
CSAM,Buildings,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRAZIL,Industry,Solar Thermal,Pathway,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
BRAZIL,Industry,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
BRAZIL,Buildings,Solar Thermal,Pathway,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
BRAZIL,Buildings,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUR,Industry,Solar Thermal,Pathway,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
EUR,Industry,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
EUR,Buildings,Solar Thermal,Pathway,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
EUR,Buildings,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EU,Industry,Solar Thermal,Pathway,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
EU,Industry,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
EU,Buildings,Solar Thermal,Pathway,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
EU,Buildings,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Industry,Solar Thermal,Pathway,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
Africa,Industry,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
Africa,Buildings,Solar Thermal,Pathway,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
Africa,Buildings,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAFR,Industry,Solar Thermal,Pathway,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
SAFR,Industry,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
SAFR,Buildings,Solar Thermal,Pathway,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
SAFR,Buildings,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME,Industry,Solar Thermal,Pathway,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
ME,Industry,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
ME,Buildings,Solar Thermal,Pathway,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
ME,Buildings,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EURASIA,Industry,Solar Thermal,Pathway,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
EURASIA,Industry,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
EURASIA,Buildings,Solar Thermal,Pathway,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
EURASIA,Buildings,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUS,Industry,Solar Thermal,Pathway,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
RUS,Industry,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
RUS,Buildings,Solar Thermal,Pathway,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
RUS,Buildings,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASIAPAC,Industry,Solar Thermal,Pathway,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
ASIAPAC,Industry,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
ASIAPAC,Buildings,Solar Thermal,Pathway,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
ASIAPAC,Buildings,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHINA,Industry,Solar Thermal,Pathway,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
CHINA,Industry,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
CHINA,Buildings,Solar Thermal,Pathway,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
CHINA,Buildings,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDIA,Industry,Solar Thermal,Pathway,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
INDIA,Industry,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
INDIA,Buildings,Solar Thermal,Pathway,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
INDIA,Buildings,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,Industry,Solar Thermal,Pathway,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
JPN,Industry,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
JPN,Buildings,Solar Thermal,Pathway,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
JPN,Buildings,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASEAN,Industry,Solar Thermal,Pathway,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
ASEAN,Industry,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
ASEAN,Buildings,Solar Thermal,Pathway,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
ASEAN,Buildings,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OECD,Industry,Solar Thermal,Pathway,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
OECD,Industry,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
OECD,Buildings,Solar Thermal,Pathway,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
OECD,Buildings,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NonOECD,Industry,Solar Thermal,Pathway,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
NonOECD,Industry,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
NonOECD,Buildings,Solar Thermal,Pathway,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
NonOECD,Buildings,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DevelopingECO,Industry,Solar Thermal,Pathway,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
DevelopingECO,Industry,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
DevelopingECO,Buildings,Solar Thermal,Pathway,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
DevelopingECO,Buildings,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AdvancedECO,Industry,Solar Thermal,Pathway,TWh,0.00014,0.00081,0.00032,0.00217,0.00079,0.00041,0.00131,0.00735,0.00569,0.00139,0.00129,0.00826,0.00949,0.02272,0.00233,0.00156
AdvancedECO,Industry,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,20.16677214,100.9019695,154.6456926,197.1242507,240.9857816
AdvancedECO,Buildings,Solar Thermal,Pathway,TWh,41.4,47.3,52.1,58.9,66.2,74.8,84.3,96.5,108.8,125.8,165.2,194.4,224.4,255,277.4,295.7
AdvancedECO,Buildings,Biochar,Pathway,TWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
